sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,target
0,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9.0
0,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12.0
1,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12.0
0,0.515,0.425,0.145,0.9365,0.4970000000000001,0.181,0.2185,8.0
1,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9.0
0,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12.0
0,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9.0
0,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9.0
0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17.0
1,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8.0
1,0.725,0.57,0.205,1.6195,0.7440000000000001,0.315,0.488,11.0
1,0.55,0.43,0.155,0.785,0.289,0.227,0.233,11.0
0,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11.0
0,0.575,0.46,0.155,0.892,0.4415,0.17600000000000002,0.22,10.0
2,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10.0
2,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8.0
1,0.605,0.475,0.165,1.056,0.433,0.2195,0.35700000000000004,9.0
2,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6.0
0,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12.0
1,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10.0
1,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11.0
1,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13.0
1,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9.0
0,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9.0
2,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10.0
1,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10.0
0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11.0
1,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6.0
2,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7.0
1,0.525,0.415,0.14,0.7240000000000001,0.3475,0.173,0.175,8.0
1,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9.0
1,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13.0
2,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7.0
0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17.0
1,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10.0
1,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,14.0
2,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12.0
0,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8.0
0,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8.0
1,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10.0
2,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6.0
1,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15.0
1,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10.0
0,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11.0
2,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13.0
1,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12.0
0,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9.0
2,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,7.0
1,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20.0
2,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7.0
2,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,7.0
1,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12.0
1,0.47,0.375,0.125,0.5615,0.252,0.13699999999999998,0.18,10.0
1,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8.0
1,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5.0
0,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,12.0
2,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10.0
1,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,11.0
2,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6.0
2,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6.0
0,0.415,0.345,0.135,0.3865,0.128,0.07,0.14800000000000002,13.0
1,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10.0
0,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8.0
1,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10.0
1,0.6,0.45,0.14,0.8370000000000001,0.37,0.177,0.2425,10.0
2,0.39,0.31,0.1,0.302,0.116,0.064,0.115,11.0
0,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10.0
0,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10.0
2,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6.0
0,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11.0
2,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6.0
2,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,8.0
0,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12.0
0,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10.0
2,0.605,0.49,0.165,1.071,0.482,0.1935,0.35200000000000004,10.0
0,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10.0
1,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16.0
1,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10.0
0,0.345,0.255,0.08,0.16899999999999998,0.06,0.0425,0.054000000000000006,10.0
2,0.495,0.38,0.145,0.5,0.205,0.14800000000000002,0.1505,8.0
2,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7.0
0,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7.0
1,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15.0
0,0.495,0.4,0.135,0.61,0.272,0.1435,0.14400000000000002,7.0
1,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8.0
2,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5.0
1,0.645,0.51,0.2,1.5675,0.621,0.3670000000000001,0.46,12.0
0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10.0
1,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15.0
2,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11.0
0,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10.0
0,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13.0
0,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14.0
1,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12.0
2,0.395,0.295,0.09,0.3025,0.14300000000000002,0.0665,0.0765,5.0
2,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9.0
1,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19.0
0,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12.0
0,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10.0
0,0.605,0.48,0.17,1.1835,0.5820000000000001,0.2365,0.317,10.0
1,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8.0
1,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9.0
2,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9.0
0,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12.0
1,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9.0
1,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11.0
2,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8.0
1,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8.0
2,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4.0
0,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13.0
0,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8.0
0,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9.0
1,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8.0
2,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5.0
2,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4.0
0,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15.0
2,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12.0
0,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14.0
2,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9.0
0,0.655,0.515,0.16,1.31,0.5529999999999999,0.369,0.345,11.0
2,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6.0
2,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7.0
2,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7.0
1,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10.0
1,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10.0
0,0.485,0.4,0.135,0.6629999999999999,0.313,0.13699999999999998,0.2,10.0
0,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12.0
0,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8.0
2,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5.0
0,0.45,0.335,0.14,0.4625,0.16399999999999998,0.076,0.15,14.0
2,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8.0
0,0.565,0.39,0.125,0.7440000000000001,0.35200000000000004,0.13,0.1685,11.0
0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11.0
2,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7.0
1,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9.0
2,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9.0
0,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13.0
1,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10.0
0,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5.0
2,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7.0
0,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14.0
2,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8.0
2,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8.0
1,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9.0
1,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10.0
0,0.685,0.52,0.165,1.519,0.6990000000000001,0.3685,0.4,10.0
0,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9.0
2,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,10.0
0,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9.0
2,0.395,0.295,0.1,0.293,0.14,0.062,0.08199999999999999,7.0
2,0.5,0.375,0.12,0.542,0.215,0.116,0.17,9.0
0,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10.0
2,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8.0
0,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,10.0
0,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10.0
0,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7.0
2,0.385,0.29,0.09,0.232,0.0855,0.0495,0.08,7.0
2,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5.0
0,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10.0
0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9.0
0,0.53,0.415,0.14,0.7240000000000001,0.3105,0.1675,0.205,10.0
2,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,9.0
2,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9.0
2,0.37,0.29,0.09,0.2445,0.08900000000000001,0.0655,0.075,7.0
1,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19.0
2,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6.0
0,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9.0
1,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14.0
2,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10.0
0,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13.0
0,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8.0
1,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,10.0
1,0.625,0.52,0.18,1.354,0.4845,0.35100000000000003,0.375,11.0
0,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13.0
0,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11.0
1,0.615,0.5,0.175,1.3769999999999998,0.5585,0.33,0.292,12.0
1,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9.0
0,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219,10.0
1,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9.0
0,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14.0
0,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8.0
1,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10.0
0,0.515,0.4,0.14,0.6335,0.28800000000000003,0.145,0.168,9.0
0,0.54,0.405,0.125,0.8909999999999999,0.4815,0.1915,0.202,9.0
1,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11.0
0,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8.0
1,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13.0
0,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9.0
1,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10.0
0,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10.0
1,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11.0
0,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10.0
1,0.64,0.5,0.175,1.394,0.4935,0.29100000000000004,0.4,10.0
2,0.535,0.39,0.125,0.599,0.2595,0.149,0.16899999999999998,9.0
2,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11.0
1,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9.0
1,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12.0
0,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10.0
2,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6.0
0,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10.0
2,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6.0
2,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9.0
1,0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11.0
0,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16.0
0,0.315,0.25,0.09,0.203,0.0615,0.037000000000000005,0.0795,11.0
0,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10.0
0,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10.0
2,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9.0
2,0.49,0.37,0.11,0.5379999999999999,0.271,0.1035,0.139,8.0
0,0.64,0.565,0.23,1.521,0.644,0.3720000000000001,0.406,15.0
1,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17.0
1,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16.0
2,0.55,0.42,0.115,0.6679999999999999,0.2925,0.13699999999999998,0.209,11.0
1,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8.0
2,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10.0
1,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20.0
0,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12.0
1,0.395,0.295,0.095,0.2245,0.078,0.054000000000000006,0.08,10.0
1,0.725,0.6,0.2,1.737,0.6970000000000001,0.3585,0.595,11.0
0,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9.0
1,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9.0
1,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10.0
0,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16.0
2,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10.0
2,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10.0
0,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8.0
0,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19.0
2,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7.0
0,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9.0
1,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18.0
0,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8.0
0,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15.0
0,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21.0
0,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11.0
2,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7.0
0,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11.0
0,0.61,0.485,0.145,1.3305,0.7829999999999999,0.2255,0.2865,9.0
0,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9.0
1,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10.0
0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12.0
0,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15.0
2,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6.0
0,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7.0
2,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12.0
2,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5.0
0,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15.0
1,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,17.0
0,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7.0
2,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7.0
0,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9.0
1,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6.0
0,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9.0
2,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6.0
1,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12.0
0,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11.0
0,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,9.0
2,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6.0
1,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12.0
2,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7.0
0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16.0
2,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9.0
1,0.535,0.41,0.13,0.7145,0.335,0.14400000000000002,0.2075,9.0
1,0.75,0.55,0.195,1.8325,0.83,0.366,0.44,11.0
2,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4.0
1,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9.0
1,0.6,0.46,0.155,0.9735,0.4270000000000001,0.2045,0.3,8.0
2,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4.0
0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20.0
1,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9.0
1,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10.0
1,0.575,0.465,0.175,1.099,0.4735,0.202,0.35,9.0
0,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9.0
2,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9.0
0,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10.0
0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15.0
1,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12.0
0,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9.0
0,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15.0
1,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,10.0
0,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16.0
